,Drug1,Drug2
4913,A02B,C01D
4914,N02A,N02C
4915,A02B,L01X
4916,N02A,N05C
4917,S01E,A07E
4918,J04A,N03A
4919,A07E,N03A
4920,N06B,L02B
4921,C09C,C07A
4922,N06A,C09C
4923,V03A,L01X
4924,A10B,C07A
4925,J05A,N03A
4926,J05A,C09C
4927,C10A,C05A
4928,C09A,C07A
4929,B03B,D11A
4930,S01A,L02A
4931,S01A,C03D
4932,R01A,J01F
4933,V03A,J05A
4934,G04B,A10B
4935,C08C,M03B
4936,J01D,H02A
4937,C01D,V03A
4938,H03A,G04B
4939,J05A,N02A
4940,D05A,B03B
4941,J05A,C03A
4942,D05A,N03A
4943,J05A,M01A
4944,N05B,J04A
4945,S01E,J01D
4946,A07D,R03A
4947,N05A,B01A
4948,S01E,M01A
4949,R06A,L01C
4950,J05A,N03A
4951,N05B,J01D
4952,J05A,A02B
4953,C08D,N06A
4954,L02A,J01X
4955,L02A,C09C
4956,N05A,N03A
4957,L02B,L02B
4958,C08D,L02B
4959,S01A,L01X
4960,N01B,S01E
4961,A02B,C09A
4962,C10A,L01C
4963,A02B,N05A
4964,G04C,M05B
4965,J02A,G04B
4966,A01A,R03D
4967,R06A,C09A
4968,C07A,C10A
4969,J01A,M04A
4970,L02A,N05A
4971,B05C,C03C
4972,L01C,L01X
4973,R03A,A06A
4974,N06D,C10A
4975,N05B,S01A
4976,L04A,C09A
4977,N05B,J05A
4978,H03A,D11A
4979,N06A,A03F
4980,N05B,N05B
4981,R03D,R03D
4982,N05B,M01A
4983,C07A,M02A
4984,C08D,R01A
4985,C08D,G04C
4986,M05B,M03C
4987,N05A,A06A
4988,S01A,H02A
4989,L01A,B01A
4990,N05C,C04A
4991,N03A,A10B
4992,N06A,N03A
4993,C01B,N05C
4994,N06A,N03A
4995,C01B,N05C
4996,J01D,C01D
4997,H02A,N06B
4998,C01E,A02B
4999,A07D,L01D
5000,N05A,G04C
5001,C08D,L01X
5002,M01A,N05B
5003,A10B,R01A
5004,A07D,A06A
5005,S01A,C01D
5006,M02A,D11A
5007,J01A,L04A
5008,N03A,L04A
5009,C07A,N05C
5010,J02A,S01E
5011,H02A,L02A
5012,J01A,S01E
5013,R03A,R01A
5014,J05A,G04C
5015,A04A,J05A
5016,N05B,D01A
5017,J05A,A10B
5018,N03A,L01B
5019,A02B,G04B
5020,N03A,J02A
5021,N06A,J01F
5022,N05B,M01A
5023,B01A,D11A
5024,C09A,J05A
5025,C07A,J05A
5026,C01D,S01E
5027,N02B,M03B
5028,L02A,B01A
5029,N03A,N06A
5030,N04B,M01A
5031,N06A,C10A
5032,R01A,A10B
5033,S01A,C04A
5034,B01A,L01X
5035,C03D,P01A
5036,H03A,J01E
5037,N05C,J05A
5038,C03B,M03B
5039,C07A,A02B
5040,R01A,C08C
5041,H03A,N04A
5042,M01A,C09C
5043,S01A,J01X
5044,B01A,B01A
5045,C09A,N04B
5046,C09A,M01A
5047,J01D,B01A
5048,S01A,A10B
5049,C07A,J05A
5050,R03A,G04B
5051,A02B,B03B
5052,J01A,R01A
5053,V03A,J05A
5054,J05A,D01A
5055,J05A,L01C
5056,N01A,J04A
5057,H02A,L02A
5058,C08C,L01A
5059,J01A,S01A
5060,N02A,M05B
5061,S01E,R01A
5062,N06A,M05B
5063,C01B,J01C
5064,C01B,S01A
5065,J01F,L01X
5066,S01E,M03A
5067,S01E,C01B
5068,M02A,L01X
5069,M02A,J01C
5070,C07A,N03A
5071,M02A,N04A
5072,B05X,H05B
5073,M03B,M02A
5074,N03A,A10B
5075,G04C,H02A
5076,A02B,N06A
5077,L02B,M01A
5078,M05B,C10A
5079,B05C,J05A
5080,B01A,N05A
5081,V03A,C03C
5082,N02A,J01F
5083,A02B,N03A
5084,M03B,G04B
5085,C01E,J05A
5086,B01A,L01X
5087,S01A,A02B
5088,A03F,C09A
5089,N06A,H02A
5090,V03A,L01B
5091,M01A,N02C
5092,C10A,C03D
5093,N06A,N03A
5094,C08D,C01B
5095,L02A,N03A
5096,C08C,R01A
5097,L01B,G04C
5098,G04C,C09C
5099,M01A,A02B
5100,M01A,C09A
5101,M01A,G03X
5102,C07A,A10B
5103,S01A,N05C
5104,R03A,J05A
5105,L01X,M01A
5106,L01A,A06A
5107,C03C,N06A
5108,H02A,J01A
5109,M03B,C07A
5110,C01E,C05A
5111,L02B,H02A
5112,N05A,J04A
5113,C03D,J01F
5114,A02B,J05A
5115,R06A,L01B
5116,J01D,J01A
5117,C03C,H01C
5118,B03B,A10B
5119,A04A,L01C
5120,C01B,M04A
5121,L01B,A10B
5122,L01B,A10B
5123,C07A,S01E
5124,J01X,J01F
5125,M05B,L02B
5126,B01A,N01A
5127,B01A,J04A
5128,N02A,C07A
5129,C03B,H05B
5130,H02A,H03B
5131,A02B,D11A
5132,L02A,R03A
5133,G04C,N02C
5134,C09A,N05B
5135,V03A,G04C
5136,N05A,N05A
5137,N06B,N05C
5138,V03A,C01B
5139,M05B,J04A
5140,G04B,M05B
5141,J04A,N06A
5142,M01A,S01A
5143,C10A,J05A
5144,J01D,C01E
5145,N05B,M03A
5146,N06A,L01A
5147,D08A,N05C
5148,A02B,C09X
5149,J02A,S01A
5150,L01D,C09A
5151,C09A,R01A
5152,N02A,S01A
5153,B01A,J01C
5154,N03A,C09A
5155,N02A,N05B
5156,N02A,A07D
5157,N02A,C09A
5158,A10B,N02C
5159,C03A,N05A
5160,C10A,N05C
5161,J01A,B05C
5162,C09A,N04B
5163,C01E,A04A
5164,C08C,C09C
5165,M03B,N05C
5166,N03A,N05C
5167,M03B,N02C
5168,M03B,N05C
5169,G04B,S01A
5170,L04A,A10B
5171,M05B,J04A
5172,R03A,M03B
5173,R03A,C03B
5174,C01B,N05B
5175,A05A,C09C
5176,C01D,G04B
5177,N03A,L01A
5178,S01A,S01E
5179,C10A,N05B
5180,V03A,A02B
5181,L02B,C09A
5182,C05A,C01D
5183,C09A,C09C
5184,N03A,N05B
5185,N06B,B01A
5186,D11A,N05C
5187,L04A,G04B
5188,N02A,R01A
5189,S01A,H02A
5190,M01A,N07A
5191,C01B,M03B
5192,L01D,A04A
5193,N06A,G03X
5194,C01D,B03B
5195,V03A,C09C
5196,N06A,L01X
5197,S01A,C10A
5198,B01A,N02C
5199,V03A,G04B
5200,A10B,D01A
5201,C09A,M02A
5202,B01A,M01A
5203,B01A,M04A
5204,C09A,R03D
5205,R03A,J05A
5206,M01A,M05B
5207,N05C,D11A
5208,C09A,N02C
5209,N05B,N03A
5210,C09A,N05C
5211,M02A,G03A
5212,C09A,N03A
5213,M02A,R01A
5214,L01D,N05C
5215,M02A,C09C
5216,M02A,S01A
5217,N06A,N04B
5218,P01A,J05A
5219,S01A,C10A
5220,N06B,N04B
5221,B03B,M01A
5222,M03B,M01A
5223,S01E,N07B
5224,S01E,N07B
5225,C09A,A02B
5226,D10A,S01A
5227,B01A,J02A
5228,C08C,D11A
5229,R06A,C09A
5230,N05A,A10B
5231,S01A,J02A
5232,A02B,A06A
5233,L02B,N05C
5234,N03A,N05B
5235,C08D,M01A
5236,C08D,R06A
5237,H03A,C01B
5238,C08D,M02A
5239,C08D,J02A
5240,N05B,H03B
5241,C09A,M05B
5242,B03B,S01A
5243,A02B,L01B
5244,L01D,D10A
5245,A02B,D07A
5246,C10A,N01A
5247,M05B,L01X
5248,J01C,N06A
5249,L01D,S01A
5250,M01A,N03A
5251,A03A,C10A
5252,V03A,N06B
5253,M01A,N02C
5254,M01A,N05C
5255,B03B,J01A
5256,H03A,A04A
5257,S01E,C09C
5258,J01D,B05X
5259,L01C,L01A
5260,M01A,N05C
5261,R01A,A07E
5262,H03A,B05X
5263,J01F,S01A
5264,N05A,C03D
5265,M02A,S01A
5266,S01E,C03A
5267,L01B,C10A
5268,L01B,L01X
5269,R06A,R01A
5270,B03B,R03D
5271,L04A,S01A
5272,R01A,V03A
5273,D01A,D01A
5274,N06B,B05X
5275,H02A,L01X
5276,C08D,H03B
5277,B03B,C02C
5278,B03B,N06A
5279,N02C,R03D
5280,J01X,N06A
5281,N04B,C09A
5282,V03A,C08C
5283,D10A,L01B
5284,C08D,R03D
5285,R01A,C03B
5286,R03A,S01E
5287,A03F,C05A
5288,S01E,J01F
5289,C07A,C09A
5290,S01A,R03D
5291,J01F,C09C
5292,M01A,J05A
5293,J05A,A02B
5294,N06A,N06B
5295,C05A,D07A
5296,L02B,S01A
5297,N05C,J01A
5298,N03A,M05B
5299,C03C,N05B
5300,J05A,J02A
5301,S01A,H02A
5302,G04B,C01D
5303,J01X,H05B
5304,J01F,J02A
5305,C01B,R06A
5306,L01B,A06A
5307,N05A,R01A
5308,N02A,B05X
5309,J05A,H02A
5310,C08D,S01A
5311,N05B,A02B
5312,N05B,A04A
5313,V03A,A06A
5314,C09C,L04A
5315,H03A,D01A
5316,G04C,N05A
5317,M01A,M03B
5318,G04C,C09A
5319,C07A,N07B
5320,A02B,L02B
5321,C09A,L01B
5322,C08D,M02A
5323,N06A,J05A
5324,L01A,L01C
5325,J02A,L01B
5326,A04A,A10B
5327,N01A,N05C
5328,M03B,M03B
5329,J01D,S01A
5330,C07A,R03D
5331,C10A,R03A
5332,R01A,J05A
5333,C10A,C09A
5334,N05B,J05A
5335,C07A,N05C
5336,M05B,N03A
5337,C08D,A04A
5338,P01A,M03B
5339,J01D,C09A
5340,J01D,A07D
5341,V03A,S01A
5342,N04B,C03A
5343,J02A,N02A
5344,L01C,J01A
5345,N06A,A10B
5346,C09C,N02A
5347,C09C,N06D
5348,A07D,J01D
5349,J02A,C03D
5350,L02B,G04B
5351,N06A,A10B
5352,J01D,R01A
5353,R01A,S01E
5354,C07A,S01E
5355,N05B,N05B
5356,N05B,A07D
5357,N05B,C09A
5358,M01A,J05A
5359,N03A,N05A
5360,M03B,N06A
5361,N05C,A10B
5362,J01D,A02B
5363,A10B,A02B
5364,A10B,L01X
5365,N05C,G04B
5366,A02B,C02C
5367,L01D,J04A
5368,L02A,M05B
5369,A10B,G03X
5370,A02B,H02A
5371,A02B,G04B
5372,A02B,J01E
5373,M05B,A02B
5374,N05C,A07E
5375,N05A,R03D
5376,N02A,G04C
5377,C07A,C09C
5378,J05A,J05A
5379,J01X,N02A
5380,C09A,R03D
5381,C10A,A02B
5382,C07A,N06A
5383,V03A,L01X
5384,C07A,N02C
5385,C02C,R01A
5386,V03A,J01C
5387,C10A,A02B
5388,D11A,C03C
5389,P01B,N03A
5390,C01D,R01A
5391,D01A,N04A
5392,J01X,A04A
5393,C10A,R01A
5394,A10B,B05C
5395,C10A,C01D
5396,N06A,A06A
5397,N06A,P01A
5398,C08C,R06A
5399,N06A,C03B
5400,N06A,C01D
5401,C10A,M03B
5402,V03A,M03B
5403,N06A,A07E
5404,C08C,N05A
5405,J02A,S01A
5406,M01A,N06B
5407,B01A,N06A
5408,R01A,A03B
5409,S01A,M03B
5410,C08C,S01A
5411,L02B,C10A
5412,C07A,C10A
5413,M01A,N05C
5414,S01A,C07A
5415,S01A,P01A
5416,C07A,N01A
5417,L02A,A07D
5418,B03B,C09C
5419,B03B,C10A
5420,H03A,N05A
5421,H03A,C09A
5422,N05B,V03A
5423,L02A,N05B
5424,S01E,C10A
5425,C09A,B01A
5426,M05B,H01C
5427,C02C,N03A
5428,D01A,A10B
5429,R03A,S01E
5430,C09A,S01E
5431,C02C,H02A
5432,B01A,N03A
5433,A02B,C07A
5434,A16A,H05B
5435,B03B,M01A
5436,N06A,B01A
5437,M03B,B01A
5438,C03A,N06B
5439,S01E,L04A
5440,J01F,S01E
5441,J01F,N03A
5442,J01F,B01A
5443,J01A,L01A
5444,A16A,A03F
5445,N05A,N01A
5446,C10A,L02B
5447,B05X,A07E
5448,J02A,A02B
5449,R06A,M01A
5450,M01A,L01C
5451,N03A,J05A
5452,N03A,A03A
5453,N06A,J01A
5454,G04C,L01X
5455,J02A,R06A
5456,A02B,A10B
5457,D11A,R03D
5458,N05A,N03A
5459,A02B,N02C
5460,A02B,N02C
5461,J05A,J05A
5462,J05A,J05A
5463,B01A,S01E
5464,A04A,M05B
5465,C03B,N06A
5466,R06A,M01A
5467,A10B,M04A
5468,N05A,C09A
5469,R06A,N06D
5470,R01A,C09A
5471,R01A,A02B
5472,R06A,N02A
5473,N05B,N02C
5474,A10B,C07A
5475,N02B,N05C
5476,C01E,N03A
5477,B05C,C10A
5478,L01C,M01A
5479,L01B,S01A
5480,L01B,L01B
5481,N03A,A07E
5482,N05B,C07A
5483,A04A,S01E
5484,L01B,M02A
5485,S01A,A02B
5486,N05B,M03A
5487,C03C,C03B
5488,N02C,N07B
5489,V03A,N05B
5490,B01A,N06B
5491,J02A,J01D
5492,N02A,N02A
5493,J01D,B01A
5494,M01A,N06A
5495,R01A,C10A
5496,G04C,C03C
5497,J02A,P01B
5498,M03B,J01D
5499,A02B,H03B
5500,N05A,M05B
5501,S01A,J01D
5502,S01E,C08D
5503,S01A,N05B
5504,D10A,A10B
5505,D05A,J01D
5506,N02B,J01D
5507,N02B,J01D
5508,C07A,C09A
5509,R03A,C10A
5510,M01A,N02C
5511,N02B,J01D
5512,R03A,C10A
5513,J01D,N06A
5514,S01A,S01E
5515,C01B,C10A
5516,S01A,J01A
5517,C03C,R03A
5518,N06A,N05C
5519,N06A,L01X
5520,C03C,N05C
5521,A02B,N01A
5522,C03C,L01A
5523,M02A,H02A
5524,A01A,G04B
5525,M02A,R06A
5526,A10B,D11A
5527,A10B,N07B
5528,A02B,C03C
5529,C10A,C09C
5530,N01A,A02B
5531,R06A,B01A
5532,A02B,D11A
5533,N05B,C07A
5534,B05X,M03B
5535,N05B,S01E
5536,M05B,C08D
5537,N06A,A02B
5538,N02A,A04A
5539,J01D,H05B
5540,J04A,L04A
5541,N05A,A06A
5542,C03C,J01D
5543,N05B,M05B
5544,N05B,M03A
5545,C08C,C09C
5546,M05B,C03C
5547,C10A,C03A
5548,C08D,L01X
5549,L01C,L02A
5550,V03A,G04C
5551,C09C,A02B
5552,M05B,G03X
5553,C08D,N06A
5554,J05A,J01X
5555,N05B,G03A
5556,C08D,G04C
5557,N06A,J01F
5558,C09C,G03X
5559,B05X,J05A
5560,A03A,N03A
5561,B05X,R03A
5562,M03B,M05B
5563,D11A,S01E
5564,C08D,J01D
5565,D05A,J05A
5566,J05A,B03B
5567,J05A,J04A
5568,C03C,C10A
5569,A10B,M05B
5570,J02A,N05B
5571,C07A,S01A
5572,J01D,N06A
5573,G04B,C03C
5574,J01D,J05A
5575,C10A,C09C
5576,A02B,B01A
5577,C07A,G04C
5578,N05B,C03C
5579,H02A,M04A
5580,L01A,L01D
5581,H02A,N05A
5582,M05B,C09A
5583,R01A,C10A
5584,M01A,A04A
5585,N02A,L01X
5586,M01A,L01C
5587,L02B,C08D
5588,N05B,N01A
5589,R06A,B05X
5590,N05A,C07A
5591,R06A,P01A
5592,N05A,P01A
5593,C09C,G04B
5594,N03A,N05C
5595,R06A,C07A
5596,S01A,G04C
5597,C10A,N01A
5598,S01A,H01C
5599,P01B,R03D
5600,C07A,A10B
5601,L02B,C01D
5602,C07A,B03B
5603,C08C,M04A
5604,N03A,A10B
5605,N03A,N06A
5606,C09C,N07A
5607,N02C,R06A
5608,L02B,B01A
5609,A10B,A10B
5610,M05B,J05A
5611,N06A,C10A
5612,N06A,C09C
5613,A04A,N05B
5614,R01A,C09C
5615,B01A,G04B
5616,B05C,V03A
5617,N05B,S01A
5618,N05B,L02B
5619,S01A,N05C
5620,S01A,N05C
5621,C07A,G04B
5622,N05B,J02A
5623,N06A,N05C
5624,B03B,G03X
5625,N02B,M01A
5626,B03B,C09A
5627,B03B,A02B
5628,N05C,L02B
5629,R01A,M02A
5630,J02A,C03D
5631,N05C,M05B
5632,C07A,V03A
5633,J01D,C03A
5634,N02B,C09A
5635,N06A,D01A
5636,H02A,N01A
5637,S01E,A10B
5638,A01A,A07E
5639,R03A,S01A
5640,M04A,N06A
5641,B01A,N07B
5642,N05C,A02B
5643,M01A,N05C
5644,M01A,N05C
5645,R03A,R03D
5646,C10A,N06B
5647,R03A,C01B
5648,C01D,L01X
5649,L01A,P01A
5650,M01A,R01A
5651,L01A,C07A
5652,A04A,C09A
5653,N05C,G04B
5654,R03D,J05A
5655,M01A,N02C
5656,J01X,N05C
5657,A04A,A10B
5658,J01D,A03A
5659,S01A,R06A
5660,L01A,A04A
5661,R03A,J05A
5662,A02B,C09C
5663,A02B,J01X
5664,C08D,L02A
5665,C03D,N06A
5666,J01A,H02A
5667,H02A,C03D
5668,C07A,H05B
5669,J01A,C10A
5670,B01A,L04A
5671,N03A,J01X
5672,N03A,C09C
5673,J01D,S01A
5674,G04C,M05B
5675,C07A,A10B
5676,C09A,R03D
5677,N06B,J01F
5678,J01C,R06A
5679,B05C,L01X
5680,C09C,C09A
5681,A02B,S01A
5682,J01D,L01C
5683,C09C,R03A
5684,R01A,A07E
5685,J01D,A04A
5686,V03A,C08D
5687,V03A,A10B
5688,L02B,P01A
5689,S01E,M01A
5690,N05A,B01A
5691,N05B,J05A
5692,N05A,J01F
5693,J05A,J04A
5694,M01A,C04A
5695,N01A,N01A
5696,R03A,L01X
5697,N05C,C01D
5698,L01B,N05A
5699,C07A,C04A
5700,C09A,R06A
5701,M01A,R03A
5702,C01D,B05C
5703,J01C,N06A
5704,N01A,N05C
5705,N05C,N02A
5706,C01B,C03A
5707,N03A,A02B
5708,C10A,G03A
5709,C03B,N07B
5710,C10A,S01A
5711,B01A,J01D
5712,A02B,N01A
5713,M05B,L01B
5714,B05X,H03B
5715,M01A,A07E
5716,L01X,N03A
5717,N02A,J02A
5718,N06A,S01A
5719,L04A,N06A
5720,R01A,R03D
5721,C03B,C09C
5722,D10A,N03A
5723,N07B,C03C
5724,D10A,J05A
5725,C07A,M03B
5726,C09C,L01D
5727,C02C,D01A
5728,B03B,S01E
5729,N05B,A10B
5730,A07D,L02B
5731,J04A,H02A
5732,C01B,C09C
5733,R06A,A07E
5734,R03A,R06A
5735,N03A,C01E
5736,C07A,C07A
5737,L01C,A04A
5738,L01C,A02B
5739,B03B,N06A
5740,L01D,N03A
5741,N05B,A10B
5742,R01A,C09C
5743,R01A,J01X
5744,S01E,R05D
5745,C07A,N05B
5746,R01A,C09C
5747,S01E,A10B
5748,C09A,C09A
5749,H03A,M05B
5750,G03X,A07E
5751,M03B,M03B
5752,N03A,L01X
5753,N05B,M03B
5754,J01D,S01A
5755,B05C,M03A
5756,J01D,D10A
5757,C03C,B05C
5758,R06A,N02C
5759,R06A,N05C
5760,B01A,S01A
5761,J01D,J01X
5762,N05B,A02B
5763,J01A,A06A
5764,C01B,C01B
5765,C10A,C01D
5766,G04B,R03D
5767,J05A,J05A
5768,C10A,N02A
5769,D01A,A10B
5770,S01A,G04B
5771,C10A,N03A
5772,H03A,S01E
5773,B01A,N01A
5774,J05A,J02A
5775,H03A,L04A
5776,M05B,L02B
5777,C07A,G04C
5778,C08C,J02A
5779,C09A,M01A
5780,N02C,B01A
5781,N05C,N05B
5782,C10A,N05A
5783,N01A,D01A
5784,L01C,A06A
5785,C09A,A06A
5786,S01E,A10B
5787,S01E,N06A
5788,L01C,R03A
5789,C10A,A02B
5790,B03B,M03B
5791,L01C,C09A
5792,C09A,C01D
5793,A10B,L01C
5794,C05A,C10A
5795,C01D,B05X
5796,M03A,N01A
5797,C07A,M01A
5798,B03B,M01A
5799,D08A,M04A
5800,M01A,C10A
5801,J01D,M03B
5802,S01E,C10A
5803,J01D,B03B
5804,G04C,J04A
5805,V03A,C01B
5806,V03A,M04A
5807,V03A,N05A
5808,R01A,B01A
5809,C09A,R03A
5810,L04A,N05B
5811,C07A,B01A
5812,C07A,C02D
5813,C09A,C09A
5814,S01E,C09A
5815,R01A,C10A
5816,J01C,C07A
5817,C07A,C05A
5818,N05C,H02A
5819,C10A,L02B
5820,N03A,J02A
5821,N05C,C02C
5822,S01E,N03A
5823,J01D,A04A
5824,J01D,A02B
5825,M03B,C09A
5826,C01B,B05X
5827,C03C,N05B
5828,R01A,G04C
5829,N05A,N03A
5830,N05C,M01A
5831,L02B,N05C
5832,N05B,G04C
5833,C03C,M04A
5834,N03A,N03A
5835,A10B,D10A
5836,N03A,H02A
5837,A10B,S01A
5838,L01B,L01X
5839,N03A,C09C
5840,L01B,A03B
5841,L04A,G04B
5842,B01A,S01E
5843,R01A,J02A
5844,N06B,N01A
5845,A02B,P01B
5846,A01A,H01C
5847,M05B,C09A
5848,H03A,L01A
5849,B01A,A04A
5850,G03A,C10A
5851,M01A,L01C
5852,D10A,J05A
5853,C10A,M01A
5854,A02B,L01X
5855,R05D,R03D
5856,D10A,G04B
5857,J01D,N07A
5858,B03B,L01B
5859,N05B,A03F
5860,C10A,S01E
5861,L01C,G04C
5862,N05B,N05C
5863,H03A,C03B
5864,N02B,N02C
5865,L01D,C01D
5866,L01X,L01X
5867,A07E,N05C
5868,L01B,H02A
5869,D01A,L01C
5870,A07E,N05C
5871,A07E,N03A
5872,J05A,J05A
5873,N03A,N05A
5874,C10A,A07D
5875,N03A,C03D
5876,C10A,C09A
5877,C10A,N05B
5878,D11A,N05A
5879,H02A,L01X
5880,M05B,J01E
5881,R01A,S01E
5882,C08D,J01D
5883,M05B,N04A
5884,G04C,L01X
5885,J05A,L02A
5886,R03A,A10B
5887,C03C,B05C
5888,L01X,L01A
5889,N05C,M05B
5890,L01C,N06A
5891,S01A,D10A
5892,C01D,J02A
5893,J01X,M02A
5894,A07E,M01A
5895,J05A,N05B
5896,C09C,L01X
5897,M01A,S01E
5898,J05A,S01A
5899,J05A,A02B
5900,A10B,G04C
5901,N02B,N05B
5902,N02B,D08A
5903,N05C,M04A
5904,N03A,R06A
5905,N03A,N05A
5906,C09A,N07B
5907,N02B,A02B
5908,J01D,A02B
5909,N03A,A02B
5910,P01B,C09C
5911,J05A,L01X
5912,H02A,A06A
5913,L01C,H02A
5914,M01A,A06A
5915,C08D,J02A
5916,A10B,N05A
5917,N05C,J05A
5918,N02A,L01X
5919,B03B,R06A
5920,C01B,A10B
5921,N04B,C03C
5922,C09A,N02C
5923,A10B,C09A
5924,D05A,D11A
5925,D01A,A06A
5926,A02B,L02B
5927,J01A,L04A
5928,C09A,J05A
5929,J05A,A02B
5930,C10A,G04B
5931,C07A,B01A
5932,H02A,J05A
5933,R01A,A06A
5934,C08C,J01C
5935,J01D,N05A
5936,J05A,G04B
5937,C09A,J05A
5938,J05A,J01E
5939,J05A,J01E
5940,J01D,N01A
5941,N05C,N05A
5942,J01D,J04A
5943,L02A,R06A
5944,S01A,C10A
5945,V03A,J02A
5946,C09C,N06B
5947,C07A,L01X
5948,A02B,M04A
5949,H02A,G04B
5950,L01B,J05A
5951,R01A,N07B
5952,N03A,R03A
5953,C02C,N06A
5954,N02C,M01A
5955,C02C,D11A
5956,N03A,J01D
5957,B03B,D10A
5958,N05B,C09A
5959,N05B,J05A
5960,M02A,N06A
5961,N05B,R03A
5962,N03A,L01X
5963,N02B,J05A
5964,C09A,C10A
5965,C09C,G04C
5966,M03B,N05C
5967,A03A,A10B
5968,M03B,N03A
5969,J02A,B05C
5970,M02A,G04B
5971,J05A,J05A
5972,A03A,M03B
5973,V03A,A02B
5974,C01B,C03A
5975,C10A,J05A
5976,N05C,A10B
5977,C08D,S01E
5978,C08D,C04A
5979,L01D,L01X
5980,J02A,S01E
5981,J02A,N03A
5982,C08D,N05A
5983,R01A,C08C
5984,J02A,B01A
5985,C02C,S01A
5986,N04B,B03B
5987,N05B,A02B
5988,L01D,A10B
5989,C07A,L01X
5990,S01A,J02A
5991,V03A,J02A
5992,A03F,L01D
5993,D11A,N03A
5994,L01B,B03B
5995,L01B,M03B
5996,C02C,J05A
5997,C02C,R03A
5998,L04A,M03B
5999,S01A,N05C
6000,L01A,J01F
6001,J01D,M03A
6002,C09A,M02A
6003,J01D,C07A
6004,H03A,H01C
6005,J01D,P01A
6006,A04A,N05B
6007,C09A,C09C
6008,P01A,H02A
6009,C10A,J05A
6010,J01A,N03A
6011,A10B,H01B
6012,C08C,C10A
6013,L01B,C01D
6014,R06A,R01A
6015,A04A,L01B
6016,C10A,J01M
6017,R06A,C03A
6018,A07D,C10A
6019,J05A,G03X
6020,D11A,N01A
6021,N03A,N03A
6022,N02B,N03A
6023,J01A,L04A
6024,C08C,L01X
6025,J02A,H02A
6026,N02B,H02A
6027,R01A,C08C
6028,R01A,C01D
6029,S01E,L01C
6030,J05A,C10A
6031,J02A,B01A
6032,H02A,N05C
6033,C10A,L01B
6034,M01A,A10B
6035,C10A,B05C
6036,J02A,A06A
6037,S01A,R01A
6038,C10A,L02B
6039,C01B,M05B
6040,R06A,A04A
6041,C03B,N05A
6042,R06A,C03A
6043,N06A,C01D
6044,N06A,A02B
6045,L01B,J01D
6046,N05B,M02A
6047,N06A,N05A
6048,J01D,J01X
6049,J01D,N05C
6050,G04B,C07A
6051,C07A,D11A
6052,J01D,M01A
6053,J02A,J05A
6054,N03A,G04B
6055,N03A,A03F
6056,C09C,J01X
6057,N04B,L02A
6058,C10A,J05A
6059,C08C,A02B
6060,L02A,D01A
6061,J01A,M05B
6062,J01D,N06B
6063,M01A,V03A
6064,N05B,J01F
6065,A03F,H02A
6066,A03F,N03A
6067,R06A,A02B
6068,D01A,R01A
6069,A10B,L01X
6070,L01X,L01X
6071,C01E,J05A
6072,N06B,L01X
6073,M03B,B03B
6074,C09A,N02C
6075,L01X,C10A
6076,C08D,D11A
6077,N04B,N03A
6078,N05C,A07E
6079,J02A,N06A
6080,J01F,N05B
6081,J05A,N06B
6082,M01A,N02C
6083,N05C,B01A
6084,C10A,M05B
6085,M01A,A10B
6086,C10A,C09A
6087,N05B,C10A
6088,H02A,L01C
6089,C01D,H05B
6090,M01A,P01B
6091,M05B,R06A
6092,C10A,G04C
6093,M05B,L04A
6094,M05B,C10A
6095,M01A,N05B
6096,M01A,D08A
6097,C07A,C08D
6098,N05A,A10B
6099,C09C,A06A
6100,D08A,A03F
6101,N05A,A10B
6102,R01A,N07B
6103,C01D,B01A
6104,L01C,R03A
6105,J02A,M03A
6106,N02B,D11A
6107,N05B,A07E
6108,M05B,G04B
6109,L02B,G04B
6110,N06D,C07A
6111,M03B,C07A
6112,L01C,L01X
6113,B05X,N01A
6114,J01E,M04A
6115,H02A,J01F
6116,B01A,N05C
6117,N05B,J05A
6118,D10A,R06A
6119,D10A,L02A
6120,G04C,L01X
6121,A04A,R03A
6122,B05C,N02A
6123,C10A,C01E
6124,J05A,H02A
6125,N03A,M03A
6126,N03A,C09C
6127,N06B,N06A
6128,N01B,A03A
6129,C01E,G04B
6130,N05B,A02B
6131,N05B,A04A
6132,S01E,N05A
6133,A02B,V03A
6134,C09C,L04A
6135,J05A,A10B
6136,R06A,C09A
6137,C10A,M02A
6138,C09C,S01E
6139,S01E,M01A
6140,A01A,N05C
6141,J01D,C03C
6142,C01D,D01A
6143,D01A,R01A
6144,J01A,N07A
6145,R01A,H02A
6146,J01C,N01A
6147,C01B,N05A
6148,A03B,C01D
6149,N03A,S01A
6150,C03A,S01E
6151,G04C,C10A
6152,S01E,C05A
6153,N06B,A04A
6154,C03D,L01A
6155,V03A,J01A
6156,D11A,N06B
6157,N05C,C03C
6158,N03A,C07A
6159,N05B,J05A
6160,N05B,A05A
6161,N02B,N06A
6162,S01A,J05A
6163,A03F,R01A
6164,P01B,M05B
6165,L01X,M04A
6166,C09A,B01A
6167,G03A,N05C
6168,C03B,N05C
6169,N03A,A10B
6170,N03A,A10B
6171,J05A,R03D
6172,N05A,A02B
6173,N05A,C09A
6174,C09A,P01B
6175,C07A,N05A
6176,L04A,S01A
6177,C09A,L01X
6178,C09A,N05B
6179,N03A,A07E
6180,V03A,G04B
6181,L01B,R03D
6182,A04A,N04A
6183,A04A,J05A
